,question,contexts,ground_truth,evolution_type,metadata,episode_done
0,What should you do if your refund check is dated over 90 days and you need to request a replacement?,"[""My refund check is dated over 90 days, what do I do?\nIf your refund check is dated over 90 days, or if you have lost your refund\ncheck, please contact our Customer Service Department and one of our Customer\nService Representatives will assist in requesting a replacement.\n\nResidential Customer Service Department: **1-800-743-5000**, Monday –\nFriday, 7 a.m. – 7 p.m. and Saturday, 8 a.m. – 5 p.m.\n\nBusiness Customer Service Department: **1-800-468-4743**, Monday – Friday,\n7 a.m. – 6 p.m.\n\nIf you have a refund check that is over 3 years old you will need to inquire\non unclaimed property by calling **1-800-992-4647** or for outside CA\n**916-323-2827** OR visiting the State's web site at\n**http://www.sco.ca.gov/**.\n\n\n\n"", ""How long is my refund check valid?\nRefund checks are valid for 90 days from the issue date.\n\nIf your refund check is dated over 90 days, or if you have lost your refund\ncheck, please contact our Customer Service Department and one of our Customer\nService Representatives will assist in requesting a replacement.\n\nResidential Customer Service Department: **1-800-743-5000**, Monday –\nFriday, 7 a.m. – 7 p.m. and Saturday, 8 a.m. – 5 p.m.\n\nBusiness Customer Service Department: **1-800-468-4743**, Monday – Friday,\n7 a.m. – 6 p.m.\n\nIf you have a refund check that is over 3 years old you will need to inquire\non unclaimed property by calling **1-800-992-4647** or for outside CA\n**916-323-2827** OR visiting the State's web site at\n****.\n\n\n\n""]","If your refund check is dated over 90 days, you should contact the Customer Service Department, and one of the Customer Service Representatives will assist you in requesting a replacement.",simple,"[{'file_path': '/Users/annabeketova/Yandex.Disk.localized/code/kecilin/help_center_chatbot/notebooks/../data/Bill_FAQs/parsed/my_refund_check_is_dated_over_90_days,_what_do_i_do?.md', 'file_name': 'my_refund_check_is_dated_over_90_days,_what_do_i_do?.md', 'file_size': 773, 'creation_date': '2024-08-25', 'last_modified_date': '2024-08-25'}, {'file_path': '/Users/annabeketova/Yandex.Disk.localized/code/kecilin/help_center_chatbot/notebooks/../data/Bill_FAQs/parsed/how_long_is_my_refund_check_valid?.md', 'file_name': 'how_long_is_my_refund_check_valid?.md', 'file_size': 789, 'creation_date': '2024-08-25', 'last_modified_date': '2024-08-25'}]",True
1,What is the true-up process and how does it affect customer gas and electric rates?,"['\n\nAnnual gas and electric rate change\n\n  \n\nCustomer gas and electric rates changed on January 1, 2023, as part of an\nannual process called the “true-up” authorized by the California Public\nUtilities Commission.  \nThese rate changes include charges for:\n\n  * Gas and electric delivery\n  * Electricity supply\n  * State-mandated assistance programs for income-qualified customers, energy efficiency and public-interest research and development.\n\n  \n\nAs part of this year’s true-up, average residential non-CARE gas bills\ndecreased by 4.6 percent. This does not include natural gas supply costs.  \nAverage residential non-CARE electric (non-Community Choice Aggregator or\nDirect Access) bills increased by approximately 3.4 percent.\n\n\n\n']","The true-up process is an annual procedure authorized by the California Public Utilities Commission that results in changes to customer gas and electric rates. For the year 2023, as part of this true-up, average residential non-CARE gas bills decreased by 4.6 percent, while average residential non-CARE electric bills increased by approximately 3.4 percent. The rate changes include charges for gas and electric delivery, electricity supply, and state-mandated assistance programs.",simple,"[{'file_path': '/Users/annabeketova/Yandex.Disk.localized/code/kecilin/help_center_chatbot/notebooks/../data/Bill_FAQs/parsed/why_did_my_pg&e_bill_change?.md', 'file_name': 'why_did_my_pg&e_bill_change?.md', 'file_size': 2622, 'creation_date': '2024-08-25', 'last_modified_date': '2024-08-25'}]",True
2,What factors contribute to increased energy use during the winter months?,"['Why are my winter bills higher than previous months?\nCold weather can mean higher heating costs to keep your home comfortable. This\nwinter, a number of our customers may experience higher monthly bills due to\nincreased energy use in the colder months and various rate changes.\n\nFor tips to reduce your energy usage and costs, visit our **[Easy Ways to Save\nThis Winter](https://www.pge.com/en/save-energy-and-money/energy-usage-and-\ntips/residential-energy-savings-tips/winter-energy-savings-tips.html?)** page.\n\nHigher natural gas prices and increased energy use during colder months can\nlead to higher bills. Natural gas market prices have increase nationwide. In\naddition to these higher prices, lower temperatures have caused California to\nuse about 26% more natural gas than the five-year November historical average.\nAn average PG&E gas and electric customer can expect to see an increase of\nabout 18% this winter over last.\n\nWe’re taking a number of actions to reduce the impact of market conditions on\nour customers. Visit **[PG&E\nCurrents](https://www.pgecurrents.com/articles/3613-customers-heating-costs-\nexpected-increase-winter-higher-natural-gas-demand-west-coast) **to learn more\nabout how PG&E can help you manage your energy use and costs.\n\nGet tips and tools to reduce usage and save money this winter. We offer\nfinancial assistance programs to help customers pay bills. Visit **[Ways to\nSave This Winter](https://www.pge.com/en/save-energy-and-money/energy-usage-\nand-tips/residential-energy-savings-tips/winter-energy-savings-\ntips.html?WT.mc_id=Vanity_winter) **to find help managing your gas bill.\n\nYour gas bill will fluctuate depending on natural gas prices and increase\nenergy use, but may also change due to the season, a change in lifestyle or\nthe addition of family members.\n\nSome commonly used appliances that consume natural gas are:\n\n  * Clothes Dryers\n  * Water Heaters\n  * Furnace (heating)\n\nThese appliances usually do not consume an abundance of gas usage throughout\nthe summer months, but usage typically increases during winter or cooler\nmonths and may cause an increase in your bill.\n\nTo understand your usage and learn how to save on your energy bill:\n\n  * Sign in to **Your Account**\n  * Select the link for My Usage\n  * Select Compare my bills for a quick analysis\n\nSelect My Usage Details to analyze your usage by month and day, and learn how\nweather affects your usage.\n\n\n\n']","Factors contributing to increased energy use during the winter months include colder temperatures leading to higher heating costs, increased natural gas prices, and a rise in energy consumption as customers use more natural gas for heating. Specifically, California has used about 26% more natural gas than the five-year November historical average due to lower temperatures.",simple,"[{'file_path': '/Users/annabeketova/Yandex.Disk.localized/code/kecilin/help_center_chatbot/notebooks/../data/Bill_FAQs/parsed/why_are_my_winter_bills_higher_than_previous_months?.md', 'file_name': 'why_are_my_winter_bills_higher_than_previous_months?.md', 'file_size': 2467, 'creation_date': '2024-08-25', 'last_modified_date': '2024-08-25'}]",True
3,What options are available for viewing bill inserts if I receive paperless bills?,"['How can I see bill inserts if I receive paperless bills?\nIf you receive paperless bills and would like to view the bill inserts, you\ncan access current and past inserts online.\n\nResidential and Business customers can view current and past bill inserts by\nvisiting our**[Bill Inserts](https://www.pge.com/en/account/billing-and-\nassistance/bill-inserts.html)** page.\n\n\n\n']","If you receive paperless bills, you can view current and past bill inserts online by visiting the Bill Inserts page.",simple,"[{'file_path': '/Users/annabeketova/Yandex.Disk.localized/code/kecilin/help_center_chatbot/notebooks/../data/Bill_FAQs/parsed/how_can_i_see_bill_inserts_if_i_receive_paperless_bills?.md', 'file_name': 'how_can_i_see_bill_inserts_if_i_receive_paperless_bills?.md', 'file_size': 369, 'creation_date': '2024-08-25', 'last_modified_date': '2024-08-25'}]",True
4,What charges are included in the annual gas and electric rate change related to electricity supply?,"['\n\nAnnual gas and electric rate change\n\n  \n\nCustomer gas and electric rates changed on January 1, 2023, as part of an\nannual process called the “true-up” authorized by the California Public\nUtilities Commission.  \nThese rate changes include charges for:\n\n  * Gas and electric delivery\n  * Electricity supply\n  * State-mandated assistance programs for income-qualified customers, energy efficiency and public-interest research and development.\n\n  \n\nAs part of this year’s true-up, average residential non-CARE gas bills\ndecreased by 4.6 percent. This does not include natural gas supply costs.  \nAverage residential non-CARE electric (non-Community Choice Aggregator or\nDirect Access) bills increased by approximately 3.4 percent.\n\n\n\n', '\n\nRate changes\n\n  \n\nOur gas and electric rates can change several times each year and are expected\nto increase overall in 2023.  \nAll changes in rates need to be approved by the [California Public Utilities\nCommissionOpens in new Window.](https://www.cpuc.ca.gov/) (CPUC). The CPUC\nregulates utilities like PG&E.  \nThese changes include:\n\n  * Increases in the cost of purchasing gas and electricity\n  * Maintaining our pipes and wires\n\n  \n\n**The money from these rate increases allows us to support critical\ninvestments and programs that:**\n\n  * Make the electric grid and gas system safer and more reliable\n  * Reduce wildfire risk\n  * Enable energy efficiency and renewable energy\n  * Provide eligible, low-income customers with discounted energy bills\n\n  \n']","The charges included in the annual gas and electric rate change related to electricity supply are for electricity supply, gas and electric delivery, and state-mandated assistance programs for income-qualified customers, energy efficiency, and public-interest research and development.",simple,"[{'file_path': '/Users/annabeketova/Yandex.Disk.localized/code/kecilin/help_center_chatbot/notebooks/../data/Bill_FAQs/parsed/why_did_my_pg&e_bill_change?.md', 'file_name': 'why_did_my_pg&e_bill_change?.md', 'file_size': 2622, 'creation_date': '2024-08-25', 'last_modified_date': '2024-08-25'}, {'file_path': '/Users/annabeketova/Yandex.Disk.localized/code/kecilin/help_center_chatbot/notebooks/../data/Bill_FAQs/parsed/why_did_my_pg&e_bill_change?.md', 'file_name': 'why_did_my_pg&e_bill_change?.md', 'file_size': 2622, 'creation_date': '2024-08-25', 'last_modified_date': '2024-08-25'}]",True
5,What can I do to quickly analyze my electric bill?,"['Why is my electric bill so high?\nYour electric bill will fluctuate depending on the season, a change in\nlifestyle or the addition of family members.\n\nTo understand your usage and learn how to save on your energy bill:\n\n  * Sign in to Your Account\n  * Select the link for Energy Usage Details.\n  * Select Compare my bills for a quick analysis\n  * Select Energy Usage Details to analyze your usage by month, day and intraday, and learn how weather affects your usage.!Your account dashboard showing where to locate Energy Usage and Details\n\n\n\n']","To quickly analyze your electric bill, you can sign in to your account, select the link for Energy Usage Details, and then select Compare my bills for a quick analysis.",simple,"[{'file_path': '/Users/annabeketova/Yandex.Disk.localized/code/kecilin/help_center_chatbot/notebooks/../data/Bill_FAQs/parsed/why_is_my_electric_bill_so_high?.md', 'file_name': 'why_is_my_electric_bill_so_high?.md', 'file_size': 675, 'creation_date': '2024-08-25', 'last_modified_date': '2024-08-25'}]",True
6,What could cause a customer to receive a bill under the previous resident's name related to the start of service?,"[""Why did I receive another person's bill?\nThe most common reason customers receive another person's bill is that it is\nthe previous resident’s final bill. Not all customers provide PG&E with their\nforwarding mailing address so we will send the invoice to that resident’s last\nknown address.\n\nLike other postal mail situations, it could simply be a mistake in delivery\nand may belong to a neighbor or someone with a similar service address.\n\nIn rare situations, some customers may not have completed their start of\nservice when they moved to a new address, and services for the new address may\nstill be in the previous resident’s name. If you want to confirm your service,\nvisit us online  or call **1-800-743-5000.**  \n  \nPlease do not open another customers bill.\n\n\n\n""]","A customer could receive a bill under the previous resident's name if they have not completed their start of service when moving to a new address, resulting in services for the new address still being in the previous resident's name.",simple,"[{'file_path': ""/Users/annabeketova/Yandex.Disk.localized/code/kecilin/help_center_chatbot/notebooks/../data/Bill_FAQs/parsed/why_did_i_receive_another_person's_bill?.md"", 'file_name': ""why_did_i_receive_another_person's_bill?.md"", 'file_size': 795, 'creation_date': '2024-08-25', 'last_modified_date': '2024-08-25'}]",True
7,What steps should individuals take to file a claim for homes destroyed by the Dixie Fire?,"['What steps do I need to take to file a claim if my house was destroyed by the Dixie Fire?\nFor homes destroyed by the Dixie fire, \u200cPG&E’s Direct Payments for Community\nRecovery (DP4CR) Program is designed to easily and quickly compensate\nindividuals whose homes, including mobile homes, and rental homes, were\ndestroyed by wildfire. Steps to submit a claim and the required documentation\ncan be found on the [Direct Payments for Community\nRecovery](https://www.dp4cr.com/) webpage\n(www.DP4CR.com).\n\nIndividuals whose homes were destroyed by the fire may begin submitting claims\nat the program website beginning on May 2, 2022.\n\nSummary of the Process:\n\n  1. Prepare to make your claim: check your eligibility, identify your co-claimants (or all members of your household), and gather documentation such as proof of identity and square footage of your home.\n  2. Submit an electronic claim form with supporting documentation via this website.\n  3. We review your claim to confirm your eligibility and identity; the details of your property including square footage and acreage; and your insurance coverage. We use this information to make you a settlement offer based on a standardized and objective valuation framework.\n  4. Once you accept the offer and all co-claimants sign a settlement agreement releasing all of your claims related to the fire, we quickly pay you the full amount of our offer.\n\nGet started at www.DP4CR.com, and check the page for\nthe latest updates. If you have any additional questions, please call\n1-800-743-5000.\n\n\n\n']","Individuals whose homes were destroyed by the Dixie Fire should take the following steps to file a claim: 1. Prepare to make your claim by checking eligibility, identifying co-claimants, and gathering documentation such as proof of identity and square footage of the home. 2. Submit an electronic claim form with supporting documentation via the DP4CR website. 3. The claim will be reviewed to confirm eligibility and identity, property details, and insurance coverage, which will be used to make a settlement offer. 4. Once the offer is accepted and all co-claimants sign a settlement agreement, the full amount will be paid quickly.",simple,"[{'file_path': '/Users/annabeketova/Yandex.Disk.localized/code/kecilin/help_center_chatbot/notebooks/../data/Bill_FAQs/parsed/what_steps_do_i_need_to_take_to_file_a_claim_if_my_house_was_destroyed_by_the_dixie_fire?.md', 'file_name': 'what_steps_do_i_need_to_take_to_file_a_claim_if_my_house_was_destroyed_by_the_dixie_fire?.md', 'file_size': 1593, 'creation_date': '2024-08-25', 'last_modified_date': '2024-08-25'}]",True
8,What options are available for spreading payments over time for my bill?,"['Will I be required to pay my bill all at once when I receive it?\nWe are committed to working with you to provide a reasonable time to pay your\nbalance. If you need help paying your bill, please visit [Find help to pay\nyour bill or save energy](https://www.pge.com/en_US/residential/save-energy-\nmoney/help-paying-your-bill/payment-assistance-overview/payment-assistance-\noverview.page?WT.mc_id=Vanity_financialassistance) or call us at\n**1-800-743-5000** to spread your payments over time or apply for financial\nassistance.\n\n\n\n']",You can spread your payments over time by visiting the provided link for help paying your bill or by calling 1-800-743-5000 to discuss options for payment assistance.,simple,"[{'file_path': '/Users/annabeketova/Yandex.Disk.localized/code/kecilin/help_center_chatbot/notebooks/../data/Bill_FAQs/parsed/will_i_be_required_to_pay_my_bill_all_at_once_when_i_receive_it?.md', 'file_name': 'will_i_be_required_to_pay_my_bill_all_at_once_when_i_receive_it?.md', 'file_size': 527, 'creation_date': '2024-08-25', 'last_modified_date': '2024-08-25'}]",True
9,What is the importance of maintaining a payment schedule for estimated bills?,"[""Do I need to pay my bill if it is estimated?\nYes, you still need to pay your bill if it is estimated. The estimated bill is\ndesigned to keep payments on schedule to avoid a future larger bill that\ncovers multiple months, which may be more difficult to pay and may lead to\nservice interruption. If the estimated amount is higher than your actual\nusage, you will receive an adjustment on the amount overpaid as a credit, and\nit will go toward your next bill(s). If the amount estimated is lower than\nyour usage, any additional amount owed will appear on your adjusted statement.\n\nIf you are unable to pay your estimated bill, you have options.\n\nYou can check and see if you are eligible for a payment arrangement or\nextension. This can be done online by signing into [Your\nAccount](http://www.pge.com). If you don't have an online account, you can\ncreate one. You can also make a partial payment of the balance until you\nreceive the adjusted bill.\n\n\n\n""]","Maintaining a payment schedule for estimated bills is important to avoid a future larger bill that covers multiple months, which may be more difficult to pay and could lead to service interruption.",simple,"[{'file_path': '/Users/annabeketova/Yandex.Disk.localized/code/kecilin/help_center_chatbot/notebooks/../data/Bill_FAQs/parsed/do_i_need_to_pay_my_bill_if_it_is_estimated?.md', 'file_name': 'do_i_need_to_pay_my_bill_if_it_is_estimated?.md', 'file_size': 949, 'creation_date': '2024-08-25', 'last_modified_date': '2024-08-25'}]",True
