,question,contexts,answer,ground_truth,faithfulness,answer_relevancy,context_precision,context_recall,harmfulness
0,What does decoupling mean in relation to PG&E's profit structure?,"[""Energy bills can go up or down for a variety of reasons beyond your control\nlike the weather, state regulations and commodity prices.\n\nYou can rest assured that **we do not** :\n\n  * **Control the market prices** for gas and electricity.\n  * **Mark up the cost of the gas and electricity** that we purchase on behalf of our customers.\n  * **Make more money when our customers use more gas or electricity.** This is called decoupling.\n  * **Encourage customers to use more energy.** Our profits do not come from the energy we sell.\n\n  \n\n**We make a profit on:**\n\n  * The cost of building infrastructure (like powerlines) that delivers energy\n  * How efficiently we run our business\n  * Lowering our customers' energy use\n\n**There are a few things you can control that may affect your bill, such as:**\n\n  * The amount of energy you use\n  * When you choose to use energy\n  * Your rate plan\n  * Enrolling in bill discount programs that you are eligible for""
 ""Energy bills can go up or down for a variety of reasons beyond your control\nlike the weather, state regulations and commodity prices.\n\nYou can rest assured that **we do not** :\n\n  * **Control the market prices** for gas and electricity.\n  * **Mark up the cost of the gas and electricity** that we purchase on behalf of our customers.\n  * **Make more money when our customers use more gas or electricity.** This is called decoupling.\n  * **Encourage customers to use more energy.** Our profits do not come from the energy we sell.\n\n  \n\n**We make a profit on:**\n\n  * The cost of building infrastructure (like powerlines) that delivers energy\n  * How efficiently we run our business\n  * Lowering our customers' energy use\n\n**There are a few things you can control that may affect your bill, such as:**\n\n  * The amount of energy you use\n  * When you choose to use energy\n  * Your rate plan\n  * Enrolling in bill discount programs that you are eligible for""]",Decoupling means that PG&E does not make more money when their customers use more gas or electricity.,Decoupling refers to the practice where PG&E does not make more money when customers use more gas or electricity. This means that their profits are not directly tied to the amount of energy consumed by customers.,1.0,0.9795405413372905,0.99999999995,1.0,1
1,Why might the California Climate Credit appear as a previous unpaid balance on my bill?,"['The California Climate Credit may appear as an unpaid balance on your account\nin the days between when the credit is applied and when your April or October\nbill is generated.\n\nNo action is necessary, and you should see resolution when you receive your\nApril or October statement.\n\nVisit our [California Climate Credit](https://www.pge.com/en/account/billing-\nand-assistance/understand-your-bill/california-climate-credit.html) page for\nmore information.'
 'The California Climate Credit may appear as an unpaid balance on your account\nin the days between when the credit is applied and when your April or October\nbill is generated.\n\nNo action is necessary, and you should see resolution when you receive your\nApril or October statement.\n\nVisit our [California Climate Credit](https://www.pge.com/en/account/billing-\nand-assistance/understand-your-bill/california-climate-credit.html) page for\nmore information.']",The California Climate Credit may show up as an unpaid balance on your bill because there can be a delay between when the credit is applied and when your April or October bill is generated. This temporary appearance as an unpaid balance should be resolved once you receive your statement for April or October.,"The California Climate Credit may appear as an unpaid balance on your account in the days between when the credit is applied and when your April or October bill is generated. No action is necessary, and you should see resolution when you receive your April or October statement.",1.0,0.9871641219040536,0.99999999995,1.0,0
2,What is the validity period of a refund check?,"[""Refund checks are valid for 90 days from the issue date.\n\nIf your refund check is dated over 90 days, or if you have lost your refund\ncheck, please contact our Customer Service Department and one of our Customer\nService Representatives will assist in requesting a replacement.\n\nResidential Customer Service Department: **1-800-743-5000**, Monday –\nFriday, 7 a.m. – 7 p.m. and Saturday, 8 a.m. – 5 p.m.\n\nBusiness Customer Service Department: **1-800-468-4743**, Monday – Friday,\n7 a.m. – 6 p.m.\n\nIf you have a refund check that is over 3 years old you will need to inquire\non unclaimed property by calling **1-800-992-4647** or for outside CA\n**916-323-2827** OR visiting the State's web site at\n****.""
 ""Refund checks are valid for 90 days from the issue date.\n\nIf your refund check is dated over 90 days, or if you have lost your refund\ncheck, please contact our Customer Service Department and one of our Customer\nService Representatives will assist in requesting a replacement.\n\nResidential Customer Service Department: **1-800-743-5000**, Monday –\nFriday, 7 a.m. – 7 p.m. and Saturday, 8 a.m. – 5 p.m.\n\nBusiness Customer Service Department: **1-800-468-4743**, Monday – Friday,\n7 a.m. – 6 p.m.\n\nIf you have a refund check that is over 3 years old you will need to inquire\non unclaimed property by calling **1-800-992-4647** or for outside CA\n**916-323-2827** OR visiting the State's web site at\n****.""]",The validity period of a refund check is 90 days from the issue date.,Refund checks are valid for 90 days from the issue date.,1.0,1.0000000000000002,0.99999999995,1.0,1
3,What could be a reason for receiving another person's bill related to a mistake in delivery?,"[""The most common reason customers receive another person's bill is that it is\nthe previous resident’s final bill. Not all customers provide PG&E with their\nforwarding mailing address so we will send the invoice to that resident’s last\nknown address.\n\nLike other postal mail situations, it could simply be a mistake in delivery\nand may belong to a neighbor or someone with a similar service address.\n\nIn rare situations, some customers may not have completed their start of\nservice when they moved to a new address, and services for the new address may\nstill be in the previous resident’s name. If you want to confirm your service,\nvisit us online  or call **1-800-743-5000.**  \n  \nPlease do not open another customers bill.""
 ""The most common reason customers receive another person's bill is that it is\nthe previous resident’s final bill. Not all customers provide PG&E with their\nforwarding mailing address so we will send the invoice to that resident’s last\nknown address.\n\nLike other postal mail situations, it could simply be a mistake in delivery\nand may belong to a neighbor or someone with a similar service address.\n\nIn rare situations, some customers may not have completed their start of\nservice when they moved to a new address, and services for the new address may\nstill be in the previous resident’s name. If you want to confirm your service,\nvisit us online  or call **1-800-743-5000.**  \n  \nPlease do not open another customers bill.""]","A reason for receiving another person's bill related to a mistake in delivery could be that not all customers provide their forwarding mailing address, leading to the invoice being sent to the previous resident's last known address. Additionally, in postal mail situations, it could simply be a delivery error where the bill belongs to a neighbor or someone with a similar service address.",A reason for receiving another person's bill related to a mistake in delivery could simply be that it belongs to a neighbor or someone with a similar service address.,1.0,1.0000000000000007,0.99999999995,1.0,0
4,Will I still receive my Medical Baseline discount if my bills are estimated?,"['If you are part of any discount programs such as CARE, FERA, or Medical\nBaseline, you will still get your discount applied to the estimated bill. If\nan adjustment is required to your billing when the estimated bills are\ncorrected, any discounts you receive will also be corrected.'
 'If you are part of any discount programs such as CARE, FERA, or Medical\nBaseline, you will still get your discount applied to the estimated bill. If\nan adjustment is required to your billing when the estimated bills are\ncorrected, any discounts you receive will also be corrected.']",You will still receive your Medical Baseline discount applied to the estimated bill.,"Yes, if you are part of the Medical Baseline discount program, you will still receive your discount applied to the estimated bill.",1.0,0.9768588060270229,0.99999999995,1.0,0
5,What resources are available for energy savings tips during the winter?,"['Cold weather can mean higher heating costs to keep your home comfortable. This\nwinter, a number of our customers may experience higher monthly bills due to\nincreased energy use in the colder months and various rate changes.\n\nFor tips to reduce your energy usage and costs, visit our **[Easy Ways to Save\nThis Winter](https://www.pge.com/en/save-energy-and-money/energy-usage-and-\ntips/residential-energy-savings-tips/winter-energy-savings-tips.html?)** page.\n\nHigher natural gas prices and increased energy use during colder months can\nlead to higher bills. Natural gas market prices have increase nationwide. In\naddition to these higher prices, lower temperatures have caused California to\nuse about 26% more natural gas than the five-year November historical average.\nAn average PG&E gas and electric customer can expect to see an increase of\nabout 18% this winter over last.\n\nWe’re taking a number of actions to reduce the impact of market conditions on\nour customers. Visit **[PG&E\nCurrents](https://www.pgecurrents.com/articles/3613-customers-heating-costs-\nexpected-increase-winter-higher-natural-gas-demand-west-coast) **to learn more\nabout how PG&E can help you manage your energy use and costs.\n\nGet tips and tools to reduce usage and save money this winter. We offer\nfinancial assistance programs to help customers pay bills. Visit **[Ways to\nSave This Winter](https://www.pge.com/en/save-energy-and-money/energy-usage-\nand-tips/residential-energy-savings-tips/winter-energy-savings-\ntips.html?WT.mc_id=Vanity_winter) **to find help managing your gas bill.\n\nYour gas bill will fluctuate depending on natural gas prices and increase\nenergy use, but may also change due to the season, a change in lifestyle or\nthe addition of family members.\n\nSome commonly used appliances that consume natural gas are:\n\n  * Clothes Dryers\n  * Water Heaters\n  * Furnace (heating)\n\nThese appliances usually do not consume an abundance of gas usage throughout\nthe summer months, but usage typically increases during winter or cooler\nmonths and may cause an increase in your bill.\n\nTo understand your usage and learn how to save on your energy bill:\n\n  * Sign in to **Your Account**\n  * Select the link for My Usage\n  * Select Compare my bills for a quick analysis\n\nSelect My Usage Details to analyze your usage by month and day, and learn how\nweather affects your usage.'
 'Cold weather can mean higher heating costs to keep your home comfortable. This\nwinter, a number of our customers may experience higher monthly bills due to\nincreased energy use in the colder months and various rate changes.\n\nFor tips to reduce your energy usage and costs, visit our **[Easy Ways to Save\nThis Winter](https://www.pge.com/en/save-energy-and-money/energy-usage-and-\ntips/residential-energy-savings-tips/winter-energy-savings-tips.html?)** page.\n\nHigher natural gas prices and increased energy use during colder months can\nlead to higher bills. Natural gas market prices have increase nationwide. In\naddition to these higher prices, lower temperatures have caused California to\nuse about 26% more natural gas than the five-year November historical average.\nAn average PG&E gas and electric customer can expect to see an increase of\nabout 18% this winter over last.\n\nWe’re taking a number of actions to reduce the impact of market conditions on\nour customers. Visit **[PG&E\nCurrents](https://www.pgecurrents.com/articles/3613-customers-heating-costs-\nexpected-increase-winter-higher-natural-gas-demand-west-coast) **to learn more\nabout how PG&E can help you manage your energy use and costs.\n\nGet tips and tools to reduce usage and save money this winter. We offer\nfinancial assistance programs to help customers pay bills. Visit **[Ways to\nSave This Winter](https://www.pge.com/en/save-energy-and-money/energy-usage-\nand-tips/residential-energy-savings-tips/winter-energy-savings-\ntips.html?WT.mc_id=Vanity_winter) **to find help managing your gas bill.\n\nYour gas bill will fluctuate depending on natural gas prices and increase\nenergy use, but may also change due to the season, a change in lifestyle or\nthe addition of family members.\n\nSome commonly used appliances that consume natural gas are:\n\n  * Clothes Dryers\n  * Water Heaters\n  * Furnace (heating)\n\nThese appliances usually do not consume an abundance of gas usage throughout\nthe summer months, but usage typically increases during winter or cooler\nmonths and may cause an increase in your bill.\n\nTo understand your usage and learn how to save on your energy bill:\n\n  * Sign in to **Your Account**\n  * Select the link for My Usage\n  * Select Compare my bills for a quick analysis\n\nSelect My Usage Details to analyze your usage by month and day, and learn how\nweather affects your usage.']",Resources available for energy savings tips during the winter include the **Easy Ways to Save This Winter** page and **Ways to Save This Winter** page provided by the company. These resources offer tips and tools to help reduce energy usage and save money during the colder months.,"For tips to reduce your energy usage and costs during the winter, you can visit the 'Easy Ways to Save This Winter' page. Additionally, PG&E offers financial assistance programs to help customers pay bills and provides resources on how to manage energy use and costs through 'PG&E Currents' and 'Ways to Save This Winter'.",1.0,0.9999999999999996,0.99999999995,1.0,1
6,What should you do if your refund check is over 3 years old in relation to unclaimed property?,"[""If your refund check is dated over 90 days, or if you have lost your refund\ncheck, please contact our Customer Service Department and one of our Customer\nService Representatives will assist in requesting a replacement.\n\nResidential Customer Service Department: **1-800-743-5000**, Monday –\nFriday, 7 a.m. – 7 p.m. and Saturday, 8 a.m. – 5 p.m.\n\nBusiness Customer Service Department: **1-800-468-4743**, Monday – Friday,\n7 a.m. – 6 p.m.\n\nIf you have a refund check that is over 3 years old you will need to inquire\non unclaimed property by calling **1-800-992-4647** or for outside CA\n**916-323-2827** OR visiting the State's web site at\n**http://www.sco.ca.gov/**.""
 ""If your refund check is dated over 90 days, or if you have lost your refund\ncheck, please contact our Customer Service Department and one of our Customer\nService Representatives will assist in requesting a replacement.\n\nResidential Customer Service Department: **1-800-743-5000**, Monday –\nFriday, 7 a.m. – 7 p.m. and Saturday, 8 a.m. – 5 p.m.\n\nBusiness Customer Service Department: **1-800-468-4743**, Monday – Friday,\n7 a.m. – 6 p.m.\n\nIf you have a refund check that is over 3 years old you will need to inquire\non unclaimed property by calling **1-800-992-4647** or for outside CA\n**916-323-2827** OR visiting the State's web site at\n**http://www.sco.ca.gov/**.""]",You should inquire about unclaimed property by calling 1-800-992-4647 or for outside CA 916-323-2827 OR visiting the State's website at http://www.sco.ca.gov/.,"If your refund check is over 3 years old, you will need to inquire on unclaimed property by calling 1-800-992-4647 or for outside CA 916-323-2827, or by visiting the State's web site at http://www.sco.ca.gov/.",1.0,0.8912919701393842,0.99999999995,1.0,0
7,What factors can lead to the creation of an estimated bill by PG&E?,"['PG&E uses the following information to provide the most accurate estimate:\n\n  * Based on your usage from the same time period within the last 12 months and/or available historical meter readings for the address\n  * If you are part of any discount programs such as CARE, FERA, or Medical Baseline you will still get your discount applied to the estimated bill\n  * Weather patterns and usage trends\n\nIf your bill is estimated, keep payments on schedule to avoid a future large\nbill covering several months. If the estimated amount is higher than your\nactual usage, you will receive an adjustment on the amount overpaid as a\ncredit, and it will go toward your next bill(s). If the amount estimated is\nlower than your usage, any additional amount owed will appear on your adjusted\nstatement.'
 'PG&E uses the following information to provide the most accurate estimate:\n\n  * Based on your usage from the same time period within the last 12 months and/or available historical meter readings for the address\n  * If you are part of any discount programs such as CARE, FERA, or Medical Baseline you will still get your discount applied to the estimated bill\n  * Weather patterns and usage trends\n\nIf your bill is estimated, keep payments on schedule to avoid a future large\nbill covering several months. If the estimated amount is higher than your\nactual usage, you will receive an adjustment on the amount overpaid as a\ncredit, and it will go toward your next bill(s). If the amount estimated is\nlower than your usage, any additional amount owed will appear on your adjusted\nstatement.']","Factors that can lead to the creation of an estimated bill by PG&E include the customer's usage from the same time period within the last 12 months or available historical meter readings for the address, participation in discount programs such as CARE, FERA, or Medical Baseline, as well as consideration of weather patterns and usage trends.","Factors that can lead to the creation of an estimated bill by PG&E include: your meter not communicating, access issues preventing the reading of the meter, and having an analog meter that is read every other month.",1.0,1.000000000000001,0.0,0.0,0
8,"Do I need to pay my estimated bill, and what happens if I overpay or underpay?","['If your billing is estimated, PG&E works hard to estimate your usage as\naccurately as possible. PG&E uses a complex formula that includes your own\nhistorical usage, rate information, and weather trends to bill as close to\naccurate as possible. However, if your actual energy usage is higher than the\nprevious year, the billed amount (estimated bill) could be lower than if you\nreceived a bill for your actual usage. Conversely, if your usage is lower than\nit was the previous year, the billed amount (estimated bill) may be higher\nthan if you received a bill for your actual usage.  \n  \nIf your bill is estimated, keep payments on schedule to avoid a future large\nbill covering several months. If the estimated amount is higher than your\nactual usage, you will receive an adjustment on the amount overpaid as a\ncredit, and it will go toward your next bill(s). If the amount estimated is\nlower than your usage, any additional amount owed will appear on your adjusted\nstatement.'
 'If your billing is estimated, PG&E works hard to estimate your usage as\naccurately as possible. PG&E uses a complex formula that includes your own\nhistorical usage, rate information, and weather trends to bill as close to\naccurate as possible. However, if your actual energy usage is higher than the\nprevious year, the billed amount (estimated bill) could be lower than if you\nreceived a bill for your actual usage. Conversely, if your usage is lower than\nit was the previous year, the billed amount (estimated bill) may be higher\nthan if you received a bill for your actual usage.  \n  \nIf your bill is estimated, keep payments on schedule to avoid a future large\nbill covering several months. If the estimated amount is higher than your\nactual usage, you will receive an adjustment on the amount overpaid as a\ncredit, and it will go toward your next bill(s). If the amount estimated is\nlower than your usage, any additional amount owed will appear on your adjusted\nstatement.']","You should pay your estimated bill on time to avoid a large bill in the future. If you overpay, the excess amount will be credited towards your next bill(s). If you underpay, the additional amount owed will appear on your adjusted statement.","Yes, you still need to pay your estimated bill. If the estimated amount is higher than your actual usage, you will receive an adjustment on the amount overpaid as a credit, which will go toward your next bill(s). If the estimated amount is lower than your usage, any additional amount owed will appear on your adjusted statement.",1.0,0.8496708460882703,0.99999999995,1.0,0
9,"Am I required to pay my bill all at once, or are there options to spread payments over time?","['We are committed to working with you to provide a reasonable time to pay your\nbalance. If you need help paying your bill, please visit [Find help to pay\nyour bill or save energy](https://www.pge.com/en_US/residential/save-energy-\nmoney/help-paying-your-bill/payment-assistance-overview/payment-assistance-\noverview.page?WT.mc_id=Vanity_financialassistance) or call us at\n**1-800-743-5000** to spread your payments over time or apply for financial\nassistance.'
 'We are committed to working with you to provide a reasonable time to pay your\nbalance. If you need help paying your bill, please visit [Find help to pay\nyour bill or save energy](https://www.pge.com/en_US/residential/save-energy-\nmoney/help-paying-your-bill/payment-assistance-overview/payment-assistance-\noverview.page?WT.mc_id=Vanity_financialassistance) or call us at\n**1-800-743-5000** to spread your payments over time or apply for financial\nassistance.']",There are options available to spread your payments over time or apply for financial assistance if needed.,You are not required to pay your bill all at once; there are options available to spread your payments over time.,1.0,0.0,0.99999999995,1.0,0
