,question,contexts,ground_truth,evolution_type,metadata,episode_done
0,What does decoupling mean in relation to PG&E's profit structure?,"[""Why did my PG&E bill change?\nEnergy bills can go up or down for a variety of reasons beyond your control\nlike the weather, state regulations and commodity prices.\n\nYou can rest assured that **we do not** :\n\n  * **Control the market prices** for gas and electricity.\n  * **Mark up the cost of the gas and electricity** that we purchase on behalf of our customers.\n  * **Make more money when our customers use more gas or electricity.** This is called decoupling.\n  * **Encourage customers to use more energy.** Our profits do not come from the energy we sell.\n\n  \n\n**We make a profit on:**\n\n  * The cost of building infrastructure (like powerlines) that delivers energy\n  * How efficiently we run our business\n  * Lowering our customers' energy use\n\n**There are a few things you can control that may affect your bill, such as:**\n\n  * The amount of energy you use\n  * When you choose to use energy\n  * Your rate plan\n  * Enrolling in bill discount programs that you are eligible for\n\n  \n""]",Decoupling refers to the practice where PG&E does not make more money when customers use more gas or electricity. This means that their profits are not directly tied to the amount of energy consumed by customers.,simple,"[{'file_path': '/Users/annabeketova/Yandex.Disk.localized/code/kecilin/help_center_chatbot/notebooks/../data/Bill_FAQs/parsed/why_did_my_pg&e_bill_change?.md', 'file_name': 'why_did_my_pg&e_bill_change?.md', 'file_size': 2622, 'creation_date': '2024-08-25', 'last_modified_date': '2024-08-25'}]",True
1,Why might the California Climate Credit appear as a previous unpaid balance on my bill?,"['Why does the California Climate credit show up as a previous unpaid balance on my bill?\nThe California Climate Credit may appear as an unpaid balance on your account\nin the days between when the credit is applied and when your April or October\nbill is generated.\n\nNo action is necessary, and you should see resolution when you receive your\nApril or October statement.\n\nVisit our [California Climate Credit](https://www.pge.com/en/account/billing-\nand-assistance/understand-your-bill/california-climate-credit.html) page for\nmore information.\n\n\n\n']","The California Climate Credit may appear as an unpaid balance on your account in the days between when the credit is applied and when your April or October bill is generated. No action is necessary, and you should see resolution when you receive your April or October statement.",simple,"[{'file_path': '/Users/annabeketova/Yandex.Disk.localized/code/kecilin/help_center_chatbot/notebooks/../data/Bill_FAQs/parsed/why_does_the_california_climate_credit_show_up_as_a_previous_unpaid_balance_on_my_bill?.md', 'file_name': 'why_does_the_california_climate_credit_show_up_as_a_previous_unpaid_balance_on_my_bill?.md', 'file_size': 545, 'creation_date': '2024-08-25', 'last_modified_date': '2024-08-25'}]",True
2,What is the validity period of a refund check?,"[""How long is my refund check valid?\nRefund checks are valid for 90 days from the issue date.\n\nIf your refund check is dated over 90 days, or if you have lost your refund\ncheck, please contact our Customer Service Department and one of our Customer\nService Representatives will assist in requesting a replacement.\n\nResidential Customer Service Department: **1-800-743-5000**, Monday –\nFriday, 7 a.m. – 7 p.m. and Saturday, 8 a.m. – 5 p.m.\n\nBusiness Customer Service Department: **1-800-468-4743**, Monday – Friday,\n7 a.m. – 6 p.m.\n\nIf you have a refund check that is over 3 years old you will need to inquire\non unclaimed property by calling **1-800-992-4647** or for outside CA\n**916-323-2827** OR visiting the State's web site at\n****.\n\n\n\n""]",Refund checks are valid for 90 days from the issue date.,simple,"[{'file_path': '/Users/annabeketova/Yandex.Disk.localized/code/kecilin/help_center_chatbot/notebooks/../data/Bill_FAQs/parsed/how_long_is_my_refund_check_valid?.md', 'file_name': 'how_long_is_my_refund_check_valid?.md', 'file_size': 789, 'creation_date': '2024-08-25', 'last_modified_date': '2024-08-25'}]",True
3,What could be a reason for receiving another person's bill related to a mistake in delivery?,"[""Why did I receive another person's bill?\nThe most common reason customers receive another person's bill is that it is\nthe previous resident’s final bill. Not all customers provide PG&E with their\nforwarding mailing address so we will send the invoice to that resident’s last\nknown address.\n\nLike other postal mail situations, it could simply be a mistake in delivery\nand may belong to a neighbor or someone with a similar service address.\n\nIn rare situations, some customers may not have completed their start of\nservice when they moved to a new address, and services for the new address may\nstill be in the previous resident’s name. If you want to confirm your service,\nvisit us online  or call **1-800-743-5000.**  \n  \nPlease do not open another customers bill.\n\n\n\n""]",A reason for receiving another person's bill related to a mistake in delivery could simply be that it belongs to a neighbor or someone with a similar service address.,simple,"[{'file_path': ""/Users/annabeketova/Yandex.Disk.localized/code/kecilin/help_center_chatbot/notebooks/../data/Bill_FAQs/parsed/why_did_i_receive_another_person's_bill?.md"", 'file_name': ""why_did_i_receive_another_person's_bill?.md"", 'file_size': 795, 'creation_date': '2024-08-25', 'last_modified_date': '2024-08-25'}]",True
4,Will I still receive my Medical Baseline discount if my bills are estimated?,"['Do I still get my discounts when my bills are estimated?\nIf you are part of any discount programs such as CARE, FERA, or Medical\nBaseline, you will still get your discount applied to the estimated bill. If\nan adjustment is required to your billing when the estimated bills are\ncorrected, any discounts you receive will also be corrected.\n\n\n\n']","Yes, if you are part of the Medical Baseline discount program, you will still receive your discount applied to the estimated bill.",simple,"[{'file_path': '/Users/annabeketova/Yandex.Disk.localized/code/kecilin/help_center_chatbot/notebooks/../data/Bill_FAQs/parsed/do_i_still_get_my_discounts_when_my_bills_are_estimated?.md', 'file_name': 'do_i_still_get_my_discounts_when_my_bills_are_estimated?.md', 'file_size': 341, 'creation_date': '2024-08-25', 'last_modified_date': '2024-08-25'}]",True
5,What resources are available for energy savings tips during the winter?,"['Why are my winter bills higher than previous months?\nCold weather can mean higher heating costs to keep your home comfortable. This\nwinter, a number of our customers may experience higher monthly bills due to\nincreased energy use in the colder months and various rate changes.\n\nFor tips to reduce your energy usage and costs, visit our **[Easy Ways to Save\nThis Winter](https://www.pge.com/en/save-energy-and-money/energy-usage-and-\ntips/residential-energy-savings-tips/winter-energy-savings-tips.html?)** page.\n\nHigher natural gas prices and increased energy use during colder months can\nlead to higher bills. Natural gas market prices have increase nationwide. In\naddition to these higher prices, lower temperatures have caused California to\nuse about 26% more natural gas than the five-year November historical average.\nAn average PG&E gas and electric customer can expect to see an increase of\nabout 18% this winter over last.\n\nWe’re taking a number of actions to reduce the impact of market conditions on\nour customers. Visit **[PG&E\nCurrents](https://www.pgecurrents.com/articles/3613-customers-heating-costs-\nexpected-increase-winter-higher-natural-gas-demand-west-coast) **to learn more\nabout how PG&E can help you manage your energy use and costs.\n\nGet tips and tools to reduce usage and save money this winter. We offer\nfinancial assistance programs to help customers pay bills. Visit **[Ways to\nSave This Winter](https://www.pge.com/en/save-energy-and-money/energy-usage-\nand-tips/residential-energy-savings-tips/winter-energy-savings-\ntips.html?WT.mc_id=Vanity_winter) **to find help managing your gas bill.\n\nYour gas bill will fluctuate depending on natural gas prices and increase\nenergy use, but may also change due to the season, a change in lifestyle or\nthe addition of family members.\n\nSome commonly used appliances that consume natural gas are:\n\n  * Clothes Dryers\n  * Water Heaters\n  * Furnace (heating)\n\nThese appliances usually do not consume an abundance of gas usage throughout\nthe summer months, but usage typically increases during winter or cooler\nmonths and may cause an increase in your bill.\n\nTo understand your usage and learn how to save on your energy bill:\n\n  * Sign in to **Your Account**\n  * Select the link for My Usage\n  * Select Compare my bills for a quick analysis\n\nSelect My Usage Details to analyze your usage by month and day, and learn how\nweather affects your usage.\n\n\n\n']","For tips to reduce your energy usage and costs during the winter, you can visit the 'Easy Ways to Save This Winter' page. Additionally, PG&E offers financial assistance programs to help customers pay bills and provides resources on how to manage energy use and costs through 'PG&E Currents' and 'Ways to Save This Winter'.",simple,"[{'file_path': '/Users/annabeketova/Yandex.Disk.localized/code/kecilin/help_center_chatbot/notebooks/../data/Bill_FAQs/parsed/why_are_my_winter_bills_higher_than_previous_months?.md', 'file_name': 'why_are_my_winter_bills_higher_than_previous_months?.md', 'file_size': 2467, 'creation_date': '2024-08-25', 'last_modified_date': '2024-08-25'}]",True
6,What should you do if your refund check is over 3 years old in relation to unclaimed property?,"[""My refund check is dated over 90 days, what do I do?\nIf your refund check is dated over 90 days, or if you have lost your refund\ncheck, please contact our Customer Service Department and one of our Customer\nService Representatives will assist in requesting a replacement.\n\nResidential Customer Service Department: **1-800-743-5000**, Monday –\nFriday, 7 a.m. – 7 p.m. and Saturday, 8 a.m. – 5 p.m.\n\nBusiness Customer Service Department: **1-800-468-4743**, Monday – Friday,\n7 a.m. – 6 p.m.\n\nIf you have a refund check that is over 3 years old you will need to inquire\non unclaimed property by calling **1-800-992-4647** or for outside CA\n**916-323-2827** OR visiting the State's web site at\n**http://www.sco.ca.gov/**.\n\n\n\n""]","If your refund check is over 3 years old, you will need to inquire on unclaimed property by calling 1-800-992-4647 or for outside CA 916-323-2827, or by visiting the State's web site at http://www.sco.ca.gov/.",simple,"[{'file_path': '/Users/annabeketova/Yandex.Disk.localized/code/kecilin/help_center_chatbot/notebooks/../data/Bill_FAQs/parsed/my_refund_check_is_dated_over_90_days,_what_do_i_do?.md', 'file_name': 'my_refund_check_is_dated_over_90_days,_what_do_i_do?.md', 'file_size': 773, 'creation_date': '2024-08-25', 'last_modified_date': '2024-08-25'}]",True
7,What factors can lead to the creation of an estimated bill by PG&E?,"[""What is an estimated bill?\nAn estimated bill is a bill that PG&E has created based on estimated usage and\nnot your actual usage. The bill can be estimated for various reasons, for\nexample:\n\n  * Your meter could not be communicating\n  * There could be access issues preventing us from reading the meter \n  * You may have an analog meter read every other month\n\nPG&E uses the following information to provide the most accurate estimate for\nyour bill:\n\n  * Your usage from the same time period within the last 12 months and/or available historical meter readings for the address\n  * If you are part of any discount programs such as CARE, FERA, or Medical Baseline you will still get your discount applied to the estimated bill  \n\nIf your bill is estimated, keep payments on schedule to avoid a future large\nbill covering several months. If the estimated amount is higher than your\nactual usage, you will receive an adjustment on the amount overpaid as a\ncredit, and it will go toward your next bill(s). If the amount estimated is\nlower than your usage, any additional amount owed will appear on your adjusted\nstatement.\n\nIf you are unable to pay your estimated bill, you have options:\n\n  * You can check to see if you are eligible for a payment arrangement or extension. This can be done online by signing into Your Account. If you don't have an online account, you can create one\n  * You can also make a partial payment of the balance until you receive the adjusted bill\n\n\n\n""]","Factors that can lead to the creation of an estimated bill by PG&E include: your meter not communicating, access issues preventing the reading of the meter, and having an analog meter that is read every other month.",simple,"[{'file_path': '/Users/annabeketova/Yandex.Disk.localized/code/kecilin/help_center_chatbot/notebooks/../data/Bill_FAQs/parsed/what_is_an_estimated_bill?.md', 'file_name': 'what_is_an_estimated_bill?.md', 'file_size': 1494, 'creation_date': '2024-08-25', 'last_modified_date': '2024-08-25'}]",True
8,"Do I need to pay my estimated bill, and what happens if I overpay or underpay?","[""Do I need to pay my bill if it is estimated?\nYes, you still need to pay your bill if it is estimated. The estimated bill is\ndesigned to keep payments on schedule to avoid a future larger bill that\ncovers multiple months, which may be more difficult to pay and may lead to\nservice interruption. If the estimated amount is higher than your actual\nusage, you will receive an adjustment on the amount overpaid as a credit, and\nit will go toward your next bill(s). If the amount estimated is lower than\nyour usage, any additional amount owed will appear on your adjusted statement.\n\nIf you are unable to pay your estimated bill, you have options.\n\nYou can check and see if you are eligible for a payment arrangement or\nextension. This can be done online by signing into [Your\nAccount](http://www.pge.com). If you don't have an online account, you can\ncreate one. You can also make a partial payment of the balance until you\nreceive the adjusted bill.\n\n\n\n"", ""What is an estimated bill?\nAn estimated bill is a bill that PG&E has created based on estimated usage and\nnot your actual usage. The bill can be estimated for various reasons, for\nexample:\n\n  * Your meter could not be communicating\n  * There could be access issues preventing us from reading the meter \n  * You may have an analog meter read every other month\n\nPG&E uses the following information to provide the most accurate estimate for\nyour bill:\n\n  * Your usage from the same time period within the last 12 months and/or available historical meter readings for the address\n  * If you are part of any discount programs such as CARE, FERA, or Medical Baseline you will still get your discount applied to the estimated bill  \n\nIf your bill is estimated, keep payments on schedule to avoid a future large\nbill covering several months. If the estimated amount is higher than your\nactual usage, you will receive an adjustment on the amount overpaid as a\ncredit, and it will go toward your next bill(s). If the amount estimated is\nlower than your usage, any additional amount owed will appear on your adjusted\nstatement.\n\nIf you are unable to pay your estimated bill, you have options:\n\n  * You can check to see if you are eligible for a payment arrangement or extension. This can be done online by signing into Your Account. If you don't have an online account, you can create one\n  * You can also make a partial payment of the balance until you receive the adjusted bill\n\n\n\n""]","Yes, you still need to pay your estimated bill. If the estimated amount is higher than your actual usage, you will receive an adjustment on the amount overpaid as a credit, which will go toward your next bill(s). If the estimated amount is lower than your usage, any additional amount owed will appear on your adjusted statement.",simple,"[{'file_path': '/Users/annabeketova/Yandex.Disk.localized/code/kecilin/help_center_chatbot/notebooks/../data/Bill_FAQs/parsed/do_i_need_to_pay_my_bill_if_it_is_estimated?.md', 'file_name': 'do_i_need_to_pay_my_bill_if_it_is_estimated?.md', 'file_size': 949, 'creation_date': '2024-08-25', 'last_modified_date': '2024-08-25'}, {'file_path': '/Users/annabeketova/Yandex.Disk.localized/code/kecilin/help_center_chatbot/notebooks/../data/Bill_FAQs/parsed/what_is_an_estimated_bill?.md', 'file_name': 'what_is_an_estimated_bill?.md', 'file_size': 1494, 'creation_date': '2024-08-25', 'last_modified_date': '2024-08-25'}]",True
9,"Am I required to pay my bill all at once, or are there options to spread payments over time?","['Will I be required to pay my bill all at once when I receive it?\nWe are committed to working with you to provide a reasonable time to pay your\nbalance. If you need help paying your bill, please visit [Find help to pay\nyour bill or save energy](https://www.pge.com/en_US/residential/save-energy-\nmoney/help-paying-your-bill/payment-assistance-overview/payment-assistance-\noverview.page?WT.mc_id=Vanity_financialassistance) or call us at\n**1-800-743-5000** to spread your payments over time or apply for financial\nassistance.\n\n\n\n']",You are not required to pay your bill all at once; there are options available to spread your payments over time.,simple,"[{'file_path': '/Users/annabeketova/Yandex.Disk.localized/code/kecilin/help_center_chatbot/notebooks/../data/Bill_FAQs/parsed/will_i_be_required_to_pay_my_bill_all_at_once_when_i_receive_it?.md', 'file_name': 'will_i_be_required_to_pay_my_bill_all_at_once_when_i_receive_it?.md', 'file_size': 527, 'creation_date': '2024-08-25', 'last_modified_date': '2024-08-25'}]",True
